"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IHW_pvalue"
"uknown_crovir-transcript-575",184.912856389548,-2.02148612078742,0.184034736919956,-10.984263920059,4.54931905120386e-28,2.0691558029441e-25,1.92371873745696e-25
"LOC103057595_crovir-transcript-9059",301.796412915975,-2.87107251908476,0.266196251844963,-10.7855482531622,4.02834032792249e-27,1.77112696417659e-24,1.97460535697806e-24
"CREM_crovir-transcript-1813",106.150075078608,3.14786145515899,0.297000584357139,10.5988392648202,3.01701430424103e-26,1.24357558352935e-23,9.66546095071267e-24
"CARMIL1_crovir-transcript-5281",194.169200782031,-1.91781635446104,0.180919587033792,-10.6003799030496,2.96772203900198e-26,1.24357558352935e-23,2.14213811825628e-23
"SPTY2D1_crovir-transcript-7744",1518.19573071021,1.92343144556758,0.183000621595121,10.5105186463413,7.72674378211058e-26,3.0883560753345e-23,2.85297864946727e-23
"ACPP_crovir-transcript-2146",86.7998791681408,7.19332875714473,0.697088092825865,10.3191100682617,5.77559896760443e-25,2.24059265831478e-22,1.38985754748962e-22
"LOC103050915_crovir-transcript-13246",57.3919925373272,-3.10425303568544,0.302855398884709,-10.2499511222753,1.18403396923673e-24,4.46211658692358e-22,3.64636927125197e-22
"SIMC1_crovir-transcript-13762",173.171989612745,-1.88305486019672,0.186739530013674,-10.0838577673341,6.51181150433888e-24,2.38585538172861e-21,2.913634633593e-21
"MTFR1_crovir-transcript-5066",1033.75241158838,1.1146889006163,0.11172194770458,9.9773493348308,1.91514549785293e-23,6.82723489640003e-21,6.35046273537113e-21
"LPAR3_crovir-transcript-5860",104.500726506119,-3.29815872564149,0.333151216988084,-9.89988496953157,4.16754114117815e-23,1.44657546453e-20,1.03559280262911e-20
"SLC7A5_crovir-transcript-16251",1138.44444794478,-1.79588325216575,0.181487503776559,-9.89535485802251,4.36061161504402e-23,1.47478121031873e-20,1.37179154680807e-20
"NCBP3_crovir-transcript-9921",576.638141186125,-0.840965373989888,0.0861620852904775,-9.76027183133682,1.66707777626444e-22,5.49718896723198e-20,4.85638471176102e-20
"MAMLD1_crovir-transcript-249",284.725873329709,2.01671854067393,0.210176138692367,9.59537344829509,8.36137514594001e-22,2.68991556524265e-19,2.5008464648586e-19
"LOC103054208_crovir-transcript-7971",2944.0999289273,4.06166065499008,0.429490689785991,9.45692363439577,3.17136224359592e-21,9.95958761738814e-19,9.17089487713969e-19
"Venom_crovir-transcript-SVMP_4",95.328892108142,1.95949775717828,0.207719542462536,9.43338182796012,3.97075668489587e-21,1.19032456076765e-18,9.17089487713969e-19
"DNAJA1_crovir-transcript-15194",2223.89379830383,0.964368281388134,0.102119618654428,9.4435162811521,3.60474946055345e-21,1.10573593917907e-18,1.00514271912849e-18
"SLC30A6_crovir-transcript-9444",1075.59091874124,0.886018976030706,0.0955976371313124,9.26820999575204,1.89295919509864e-20,5.54847372963356e-18,4.90169123797977e-18
"LOC103055710_crovir-transcript-14192",858.622097026569,1.23312548328132,0.133237503547189,9.25509297646505,2.14044040209122e-20,6.13748019643113e-18,5.7088762680578e-18
"OAT_crovir-transcript-10420",4480.72938649696,1.53792723427939,0.167321430715234,9.1914540038616,3.87566658814243e-20,1.06500088119997e-17,1.00476500626471e-17
"TSG101_crovir-transcript-7747",4715.73579203641,1.56428923512697,0.170453476451685,9.17722106753492,4.42359503297328e-20,1.19075956091669e-17,1.13067931333008e-17
"CDK20_crovir-transcript-14814",210.366328723719,5.55401024091528,0.601464440606921,9.23414563845351,2.60355416594305e-20,7.30657009548699e-18,1.16679773695403e-17
"GCDH_crovir-transcript-14985",1693.83647046192,0.905120830363552,0.0987621587089946,9.16465215215187,4.9707023977511e-20,1.31127129252674e-17,1.2197001576061e-17
"FAM120A_crovir-transcript-8477",10339.9329463703,0.809834138919133,0.0887961718383474,9.12014698554154,7.50225100234307e-20,1.94028805335108e-17,1.79241002494425e-17
"TLE1_crovir-transcript-15461",1268.05401201221,1.26420387443372,0.139066796247422,9.09062341656667,9.84727857617485e-20,2.49780008499512e-17,2.29852058117995e-17
"CLTA_crovir-transcript-15223",2080.78635064751,0.951020835262944,0.104877239343096,9.06794306581406,1.21284904253097e-19,3.01839223980821e-17,2.78834707068479e-17
"QPCT_crovir-transcript-9447",12890.5587049853,2.86201870628064,0.316805185476103,9.03400208547571,1.65505563201499e-19,4.04262662708846e-17,3.69588017754967e-17
"LOC103068096_crovir-transcript-921",51.7941644611948,-4.83543025603017,0.538755714458118,-8.97518137862103,2.82885317454419e-19,6.7841042494978e-17,4.20823412909545e-17
"TAF1D_crovir-transcript-4051",350.412453462205,1.84762260179935,0.206902355212905,8.92992542254112,4.26296073885456e-19,1.00407950259807e-16,8.97547404170662e-17
"CUNH21orf2_crovir-transcript-10671",80.1558052635493,-2.30742086912263,0.259013456056263,-8.90849805355829,5.17285435685422e-19,1.19701664854223e-16,1.04197787430825e-16
"YPEL5_crovir-transcript-9527",525.323184976319,-1.81937409418949,0.205441840646821,-8.8559082631917,8.30051263858719e-19,1.85565697801636e-16,1.97461074958912e-16
"uknown_crovir-transcript-4175",108.116304928816,2.11927949095997,0.240466801301145,8.81318951095424,1.21634672082847e-18,2.67393554128793e-16,2.04744513166505e-16
"ERCC1_crovir-transcript-1244",1285.69160258023,1.79058741745838,0.203233341782289,8.81050029367976,1.2458856285911e-18,2.69397236739616e-16,2.52035920926352e-16
"ULK2_crovir-transcript-9526",282.333336081465,1.86183525779669,0.209886527894173,8.87067539053981,7.27035966013999e-19,1.65338006753873e-16,2.75296244174392e-16
"LOC103061821_crovir-transcript-14136",568.491119615313,1.64715237175144,0.187802265370994,8.77067360448278,1.77600576637521e-18,3.77830904169178e-16,3.45423378906067e-16
"MAN1A2_crovir-transcript-15089",8145.66109065001,1.27186370934102,0.14506599909688,8.76748319564272,1.82704290562039e-18,3.82518982938619e-16,3.53365500842261e-16
"TBCD_crovir-transcript-14139",266.161702402688,1.06299759411496,0.121675717009849,8.7363166639808,2.40834263907213e-18,4.96344365771272e-16,5.53367580857468e-16
"CALCOCO1_crovir-transcript-14660",275.983021358891,-2.37527342395893,0.27255579827004,-8.71481523796306,2.91233236301795e-18,5.90979444126257e-16,7.21711043064248e-16
"NEDD9_crovir-transcript-5326",414.543239332336,1.78490988019128,0.205901952649044,8.66873702375044,4.36939817870398e-18,8.60184507120977e-16,7.92453107065674e-16
"LOC103051283_crovir-transcript-6058",516.248536234709,2.05210477640658,0.236439412640253,8.67919926500957,3.98564871629281e-18,7.96525857089427e-16,8.7478157540052e-16
"LOC103061241_crovir-transcript-8385",2295.76219471372,1.03578673909366,0.119897163514986,8.63895949435201,5.67272820277985e-18,1.10034242639215e-15,1.02350126822731e-15
"SLC38A2_crovir-transcript-11799",459.75064832485,1.55737057737824,0.180406872758442,8.63254572049206,6.0001347702039e-18,1.14698228433318e-15,1.02528830562641e-15
"NEK1_crovir-transcript-4639",1453.0232386599,0.806997704012991,0.0937975423940295,8.60361245524871,7.72454961345008e-18,1.45552584859152e-15,1.33940107517995e-15
"GLRX2_crovir-transcript-5695",619.963935423236,1.57649341728904,0.185573474672415,8.49525192149339,1.97504064999829e-17,3.66912481316584e-15,3.3544145717216e-15
"LOC103066276_crovir-transcript-3676",595.941185933883,2.98816608964648,0.353305978562416,8.45772862889322,2.7263565824952e-17,4.99453379487663e-15,4.51508168162434e-15
"LOC103066245_crovir-transcript-9866",156.479183043508,-4.96747102433917,0.588598522699705,-8.4394894529382,3.18726759728769e-17,5.75891227509926e-15,5.01301229021622e-15
"LOC103060709_crovir-transcript-15591",611.829560005312,1.31039510357918,0.155770269373633,8.41235692053693,4.01852872335298e-17,7.16275592716566e-15,6.54838798875271e-15
"CANX_crovir-transcript-13858",7780.93837674844,-0.472814412905788,0.0564254288503539,-8.37945625827216,5.31727719287267e-17,9.35131815653207e-15,8.63861238606433e-15
"LOC103048486_crovir-transcript-3633",563.544400542953,1.61816122071946,0.193460336479584,8.36430479841654,6.04704110957352e-17,1.04947989783256e-14,9.48734688069887e-15
"IP6K2_crovir-transcript-13468",600.108004020351,-1.42876254932515,0.171075136950604,-8.35166684529788,6.73062839541485e-17,1.15294790305873e-14,1.04227024398305e-14
"APIP_crovir-transcript-7547",116.273312254723,-1.73749205891706,0.209064138380284,-8.31080869429933,9.50520565688009e-17,1.58700838752213e-14,1.17990809491996e-14
"LOC103062376_crovir-transcript-6259",275.850372835208,-1.78086129817222,0.21334794177546,-8.34721574228499,6.98909821252866e-17,1.18187442850324e-14,1.30097653512273e-14
"NR1H2_crovir-transcript-5260",501.949151925837,1.08886998673617,0.131193420122364,8.29973016726431,1.04348121835336e-16,1.7204396587601e-14,1.55528541934706e-14
"LOC103051431_crovir-transcript-1648",805.654986734538,3.17632922804229,0.385447856627703,8.24061977106867,1.71320868030887e-16,2.78978055472518e-14,2.46457738962493e-14
"Venom_crovir-transcript-SVSP_8",36767.9469286598,0.903418014558453,0.109757945389297,8.23100333514941,1.85651799905656e-16,2.95029788042844e-14,2.73013647838265e-14
"GPHN_crovir-transcript-7495",382.731118578208,2.17965963970221,0.264796164433749,8.23146228104656,1.84941759988694e-16,2.95029788042844e-14,3.07440777105625e-14
"SNTB2_crovir-transcript-4869",1067.53296241588,1.36342131748897,0.167154587451037,8.1566491131351,3.44447191046412e-16,5.40864101178831e-14,4.94472800654048e-14
"NR4A1_crovir-transcript-14451",4944.63887363083,2.74701792883153,0.339335440881539,8.0952874291445,5.71292947372372e-16,8.86512232451951e-14,8.24603661960618e-14
"DDA1_crovir-transcript-6823",1074.82860509751,0.76611144842657,0.0949575612052504,8.06793517759606,7.14969868828039e-16,1.09656425230719e-13,1.00250912521955e-13
"LOC103051547_crovir-transcript-15805",69.1168084061277,-2.19908425663039,0.276103194457188,-7.96471862976356,1.656001502059e-15,2.4821204331998e-13,1.55737661971526e-13
"GFPT2_crovir-transcript-13844",324.142267631805,-1.49497286395387,0.186956140790434,-7.99638277530361,1.2812764152141e-15,1.94253286398551e-13,2.0089296806184e-13
"ARL1_crovir-transcript-12005",1360.40247450147,0.920161911975466,0.115659197766436,7.95580403240955,1.77971908329906e-15,2.63758367513647e-13,2.4113513615741e-13
"LOC103063522_crovir-transcript-3640",394.037617234162,-17.6400140878953,2.22138099649137,-7.94101242234331,2.0053758824427e-15,2.93898976549103e-13,2.62716510801691e-13
"UBA1_crovir-transcript-14765",3954.82895780112,0.521047939212042,0.0657764921165472,7.92149174341516,2.34677843106626e-15,3.36456603323521e-13,3.31542680507353e-13
"IL22RA1_crovir-transcript-992",269.897750953159,-2.97651844174991,0.375324881347109,-7.93051191028596,2.18244376904209e-15,3.16334432018299e-13,3.48843509510668e-13
"ATG16L1_crovir-transcript-10632",1126.54883924526,0.71582533023885,0.0912160730790475,7.84757889783875,4.24145582516143e-15,6.01557014342788e-13,5.59547966454084e-13
"AP4E1_crovir-transcript-11195",688.844881298947,1.0048761158235,0.128479043707599,7.82132312652058,5.22709778385592e-15,7.33461912436804e-13,6.63052965706156e-13
"EGFL8_crovir-transcript-13134",111.510701499383,-3.52807186345912,0.453812239896695,-7.77429860477594,7.58665863909512e-15,1.04237528593401e-12,7.73229124350302e-13
"ZFAND4_crovir-transcript-3297",445.713727361705,1.21660758038646,0.155787819382126,7.80938834121743,5.74661826416537e-15,7.97872577940434e-13,8.2593465928988e-13
"LOX_crovir-transcript-15556",319.282432258649,2.01677567308601,0.2594850659693,7.77222251905863,7.71208139602054e-15,1.04868405787125e-12,9.51690546036425e-13
"TFG_crovir-transcript-3837",2026.83079775613,1.00163020514213,0.129159776613923,7.75497009518796,8.83642970454759e-15,1.18931130411207e-12,1.09866857170422e-12
"UBAP1_crovir-transcript-4158",617.743473739087,0.957201365004195,0.123875190989289,7.72714340425889,1.09986723092677e-14,1.45072487759241e-12,1.3630456168042e-12
"UAP1_crovir-transcript-5635",1805.83613909322,0.86231691547275,0.111746439100726,7.71672835763005,1.19353644662237e-14,1.55868769613357e-12,1.46433690408881e-12
"HACD4_crovir-transcript-15362",135.844059312181,2.81479050810726,0.365620942535262,7.69865776448457,1.37502893913782e-14,1.77810114776744e-12,1.56312448725726e-12
"RASL11A_crovir-transcript-3948",24.1179293234109,8.60280700002129,1.11292220951554,7.72992660804761,1.07608604072858e-14,1.43369443204142e-12,1.83222909913101e-12
"ABCC5_crovir-transcript-11009",179.152041576399,-1.8541049971442,0.241039159308014,-7.69213186134173,1.44703367900263e-14,1.85304604136356e-12,2.06593582166177e-12
"TXNL1_crovir-transcript-15891",1197.87554748804,0.783919591588869,0.102251251660523,7.66660142402464,1.76613516665648e-14,2.21860217601895e-12,2.08351159139694e-12
"LOC103059204_crovir-transcript-9865",84.4585580348836,-4.26958158917232,0.55845179478273,-7.64538968100807,2.08313485934896e-14,2.59212724479366e-12,2.27788182445977e-12
"LOC103051181_crovir-transcript-4696",23.9703765257914,8.28850565537714,1.0808380276372,7.66859181805109,1.73894859561015e-14,2.20545499770172e-12,2.84914025786935e-12
"DGKD_crovir-transcript-10633",448.726829821383,-1.58123282031595,0.208653517372014,-7.57827061930965,3.50191365360317e-14,4.27687417509498e-12,3.9175769937504e-12
"LOC103064636_crovir-transcript-10432",134.520640067476,-18.2675538739763,2.42446961783748,-7.53465984460146,4.89609423755556e-14,5.81797144084305e-12,4.88641718675752e-12
"SLC7A2_crovir-transcript-4554",2261.58404083406,-1.3905793564326,0.184358891104834,-7.54278433819532,4.60041609282272e-14,5.56692552883777e-12,5.12278503744014e-12
"VEGFA_crovir-transcript-9439",7556.1038069843,1.12192586801955,0.148873803704586,7.53608653840683,4.84285264766738e-14,5.8070205838848e-12,5.36444157950468e-12
"E2F7_crovir-transcript-11905",24.6499624049373,-6.1008730021433,0.813943994937544,-7.49544568187573,6.60734636634883e-14,7.71246890018947e-12,6.82612418714345e-12
"NR4A3_crovir-transcript-2319",248.001498359417,8.60973426441865,1.13599436445577,7.57902902849647,3.48150615298869e-14,4.27687417509498e-12,6.82612418714345e-12
"LOC103058653_crovir-transcript-15151",63.0901577259292,2.79301168014458,0.375441893189166,7.43926485246367,1.01247151325314e-13,1.16126080520077e-11,7.33088735199566e-12
"uknown_crovir-transcript-7168",1084.03157127134,-1.42127056457453,0.190195149872912,-7.47269615194823,7.85681250593106e-14,9.09046990817813e-12,8.39764454908195e-12
"FOXI1_crovir-transcript-14004",246.141488684279,-1.43707585869272,0.191675486995657,-7.49744206323725,6.50752223304361e-14,7.66376948695047e-12,9.11493531808609e-12
"LOC103063222_crovir-transcript-8051",79.463765547748,-2.56135497939192,0.345911174673226,-7.40466098503921,1.31485933931099e-13,1.48230723807795e-11,9.99382472692378e-12
"WNT5B_crovir-transcript-12279",368.116193504104,-1.38141829241727,0.186250849531055,-7.41697713538176,1.1982362251613e-13,1.36247722498945e-11,1.20750982376401e-11
"RARS2_crovir-transcript-8979",125.20874653937,1.35173854776182,0.183415571012899,7.36981348037652,1.70866926880151e-13,1.89389476096571e-11,1.43807950320717e-11
"MBOAT2_crovir-transcript-8808",253.637043392547,3.1408188461221,0.427940942757796,7.33937450780381,2.14594364355743e-13,2.33925592219194e-11,2.21138586028115e-11
"NOCT_crovir-transcript-4490",863.241732518312,2.11520506553858,0.288592198363973,7.32939101448222,2.31200908053305e-13,2.49962293215007e-11,2.24504733412676e-11
"YWHAQ_crovir-transcript-8760",12093.5672868966,0.977646409161979,0.133458792147194,7.32545524676797,2.38089074044879e-13,2.55316657451378e-11,2.39756309941021e-11
"IL17RB_crovir-transcript-13542",29.8035811411927,-4.6150210781641,0.626898740550235,-7.36166908568592,1.81624764184562e-13,1.99635886632864e-11,2.6228515587479e-11
"CDKL1_crovir-transcript-6937",273.981696181186,-2.20546041339719,0.298636980004592,-7.38508812057795,1.52352451447476e-13,1.70299053779001e-11,2.72000295570578e-11
"LOC103063154_crovir-transcript-13678",348.95769019835,-3.30190430148384,0.453506775334335,-7.28082683891461,3.31780326755503e-13,3.52917944347185e-11,3.15473609424792e-11
"CSRNP2_crovir-transcript-14714",354.305617236668,-0.913212914704849,0.125818579772279,-7.2581721742344,3.92355942581347e-13,4.10728165289521e-11,3.75721551056967e-11
"HNRNPR_crovir-transcript-878",660.035402712659,0.781333604509489,0.107631209095905,7.25935916796473,3.88928490685808e-13,4.10397343371665e-11,3.78708048656379e-11
"CIRBP_crovir-transcript-6685",3287.73765126299,0.580683332896073,0.0801098075468999,7.24859228448545,4.21125457430431e-13,4.37373605000582e-11,4.04039406878315e-11
"MVD_crovir-transcript-16332",650.574415731087,1.67076899292765,0.230767871160989,7.24004162504097,4.48547054706857e-13,4.62213722779957e-11,4.22568466839642e-11
"LOC103060046_crovir-transcript-9172",200.790542314229,-3.08594417498207,0.426927913102581,-7.22825582556975,4.8923648357718e-13,5.00234823130465e-11,5.57704998839318e-11
"TGIF1_crovir-transcript-5192",134.185871313747,-1.36355085330193,0.190525234603289,-7.15679923523574,8.25825017251274e-13,8.25199392238205e-11,5.99842740225825e-11
"PPIG_crovir-transcript-8285",1352.44282306973,0.759940902218178,0.105725387549095,7.18787530445602,6.58073192635645e-13,6.62594306172837e-11,6.1209503135578e-11
"DNLZ_crovir-transcript-12913",33.5766392725332,-2.85982691835721,0.395941944058375,-7.22284405901583,5.09113852459048e-13,5.16554747225757e-11,6.72441281083206e-11
"LOC103052239_crovir-transcript-7045",46.1742663441095,4.17004864538131,0.585412211797488,7.12326897414272,1.05396848789367e-12,1.03745107129235e-10,6.9869302469287e-11
"LTN1_crovir-transcript-3715",1406.59003781522,0.960575386859924,0.13431306906747,7.15176410999436,8.56696968617423e-13,8.49611504967203e-11,8.21923088881753e-11
"LOC103063119_crovir-transcript-1292",158.820024012045,0.914571019635774,0.129037312743998,7.08764775232285,1.36410635140548e-12,1.32298255698811e-10,1.00350919846042e-10
"MTREX_crovir-transcript-15788",1140.13836015966,1.13485190745745,0.159543199752421,7.11313242569107,1.13438337688466e-12,1.10833457341546e-10,1.01241008279666e-10
"RHOV_crovir-transcript-7305",106.24750580476,-3.9640524072565,0.560036876876716,-7.07819890247892,1.46040018226842e-12,1.39584626116815e-10,1.05866414965793e-10
"NR4A2_crovir-transcript-8197",1543.63464853425,2.30431871985916,0.325478436444827,7.0797892021021,1.44373904357867e-12,1.38999401348924e-10,1.27475159826946e-10
"SLC6A17_crovir-transcript-6147",17.9301950458501,4.23411512186434,0.598566049084045,7.0737642543268,1.5078636635782e-12,1.43084328939543e-10,1.88399708211833e-10
"KMT5A_crovir-transcript-16346",344.137293839728,-0.869299537503623,0.123521509549165,-7.0376369320326,1.95527354049793e-12,1.82908212760054e-10,1.92701041949887e-10
"WISP2_crovir-transcript-6533",147.202566016069,-1.73433008662325,0.247704730180149,-7.0016026151859,2.53050983424152e-12,2.33408564431088e-10,2.06059204396758e-10
"LMBR1L_crovir-transcript-14546",1296.18410167772,-1.42601624577326,0.203810914362479,-6.99676094498587,2.61947666246362e-12,2.39936785957605e-10,2.22446325012607e-10
"CCDC69_crovir-transcript-13810",255.15891619033,-5.2619050066995,0.750328143386079,-7.01280506813137,2.33586798590593e-12,2.16972526296474e-10,2.63116466372116e-10
"PACSIN1_crovir-transcript-6218",210.062295605748,1.72704828173964,0.244586731616467,7.0610873710345,1.65204673332903e-12,1.55646402947214e-10,2.64992792758312e-10
"EDC4_crovir-transcript-11557",828.633409354745,1.3272708759236,0.19044934452984,6.96915433970235,3.18851754177274e-12,2.86098954938656e-10,2.67604704321944e-10
"SIK3_crovir-transcript-13096",280.101698786952,0.860800285777204,0.123407947603905,6.97524189074161,3.05344987712175e-12,2.77758647443006e-10,3.36878822584514e-10
"ERICH1_crovir-transcript-8806",67.1529266336035,-1.43183938570645,0.20783835170054,-6.88919717651286,5.6108125511375e-12,4.93377450330024e-10,4.11408210944746e-10
"MET_crovir-transcript-11770",154.10714595776,-2.30400427479526,0.335113154213392,-6.87530240405939,6.18584950744968e-12,5.29813993527671e-10,4.1509215909006e-10
"GPBP1_crovir-transcript-15800",813.407714985384,0.633498890997586,0.09189788474353,6.89350895034814,5.44326928279362e-12,4.81857193557368e-10,4.44576483882168e-10
"LOC103051292_crovir-transcript-8025",74.4129862827223,2.63103460398138,0.385070787074592,6.8325998551319,8.33893209401451e-12,7.00576524331538e-10,4.63202104968918e-10
"TMEM248_crovir-transcript-9926",500.532587819029,-1.17531512120576,0.170768942592407,-6.8824875493374,5.88163073560244e-12,5.09760614858534e-10,4.6624768914299e-10
"EXOC3L2_crovir-transcript-1259",178.019945762165,2.45378042097173,0.351854815181228,6.97384351471182,3.08397110000069e-12,2.78613553486364e-10,4.68542236900041e-10
"Venom_crovir-transcript-SVMP_8",45608.5349876979,0.976363112377696,0.141842605599416,6.88342623326508,5.8429861290106e-12,5.09760614858534e-10,4.68542236900041e-10
"TRAPPC8_crovir-transcript-5141",822.349268190242,0.74176432815294,0.108045371207819,6.86530408346882,6.63497664375081e-12,5.6461510923273e-10,5.02037190105541e-10
"LOC103065959_crovir-transcript-952",170.338115598274,1.49192494146582,0.216257770326738,6.89882698416667,5.24336833935527e-12,4.67297489162811e-10,5.44897029217319e-10
"USE1_crovir-transcript-6842",407.862597211384,-0.747679749214226,0.108647088235026,-6.88172836806117,5.91306854233174e-12,5.09760614858534e-10,5.57395844165101e-10
"LOC103051361_crovir-transcript-13798",978.051849227864,1.40473089463616,0.204997592214168,6.85242631127386,7.26077909019938e-12,6.13908180767499e-10,5.62803133147516e-10
"ABCF1_crovir-transcript-13211",1012.00137351184,1.22808822817111,0.180018442650356,6.82201340090686,8.97732895710153e-12,7.49436512304869e-10,6.91453513589076e-10
"CDH1_crovir-transcript-16233",2048.31595598237,-1.42637603132937,0.209177612638439,-6.8189707939484,9.16950383804246e-12,7.60665129709309e-10,6.95420931482517e-10
"MRI1_crovir-transcript-10738",59.5656146320976,-2.77675198409035,0.412763494807612,-6.72722277774246,1.72931875775745e-11,1.37407918161571e-09,9.00547066149259e-10
"SCN4A_crovir-transcript-2456",89.2020649626456,-17.3163518769345,2.56838313167268,-6.74212178992826,1.56090152707741e-11,1.25538360622872e-09,9.3870881257905e-10
"KRT222_crovir-transcript-2580",109.802017298619,8.7033903146441,1.28877175257989,6.75324416229751,1.44575332314164e-11,1.19184289576489e-09,1.0246659072413e-09
"LOC103054836_crovir-transcript-5628",974.138009316817,1.05434659606959,0.15615670866884,6.75184950462508,1.45972249518334e-11,1.19588445412847e-09,1.07989552743944e-09
"ZC3H15_crovir-transcript-8369",784.26544548951,1.26053686354068,0.186949856189913,6.74264687457243,1.55526889897345e-11,1.25538360622872e-09,1.10504217081049e-09
"YIPF2_crovir-transcript-14972",1819.56201020939,0.736713313901416,0.109234547936074,6.74432519583966,1.53739856559645e-11,1.25174611606279e-09,1.1309360387179e-09
"LOC103050372_crovir-transcript-13638",487.31224679215,-1.17098855956835,0.173803678933659,-6.73742101866161,1.61222523950102e-11,1.28880308539506e-09,1.15806537993748e-09
