rattlesnake|crovir-protein-6564	human|NP_000952.1
rattlesnake|crovir-protein-5420	human|XP_011526206.1
rattlesnake|crovir-protein-5421	human|NP_036466.2
rattlesnake|crovir-protein-5422	human|NP_219482.1
rattlesnake|crovir-protein-5423	human|XP_011512355.1
rattlesnake|crovir-protein-5424	human|NP_036466.2
rattlesnake|crovir-protein-5425	human|NP_001096032.1
rattlesnake|crovir-protein-5426	human|NP_036436.1
rattlesnake|crovir-protein-5427	human|NP_612357.4
rattlesnake|crovir-protein-9370	human|NP_115811.2
rattlesnake|crovir-protein-9371	human|NP_002236.1
rattlesnake|crovir-protein-9372	human|NP_005990.1
rattlesnake|crovir-protein-9373	human|NP_114407.3
rattlesnake|crovir-protein-9374	human|NP_001158009.1
rattlesnake|crovir-protein-9375	human|NP_787072.2
rattlesnake|crovir-protein-9376	human|NP_071334.1
rattlesnake|crovir-protein-9377	human|NP_067028.1
rattlesnake|crovir-protein-5365	human|NP_001060.1
rattlesnake|crovir-protein-1878	human|NP_149098.2
rattlesnake|crovir-protein-1877	human|NP_004330.1
rattlesnake|crovir-protein-1876	human|NP_001124178.1
rattlesnake|crovir-protein-12532	human|XP_005249108.1
rattlesnake|crovir-protein-1875	human|XP_016867131.1
rattlesnake|crovir-protein-1951	human|NP_060137.2
rattlesnake|crovir-protein-12243	human|NP_995327.1
rattlesnake|crovir-protein-12242	human|NP_001305121.1
rattlesnake|crovir-protein-12241	human|NP_665807.1
rattlesnake|crovir-protein-12240	human|XP_016868269.1
rattlesnake|crovir-protein-12247	human|NP_077024.2
rattlesnake|crovir-protein-12246	human|NP_001035526.1
rattlesnake|crovir-protein-529	human|XP_011520674.1
rattlesnake|crovir-protein-528	human|XP_005255372.1
rattlesnake|crovir-protein-527	human|NP_001288088.1
rattlesnake|crovir-protein-526	human|NP_683721.1
rattlesnake|crovir-protein-12249	human|NP_001265393.1
rattlesnake|crovir-protein-12248	human|XP_011519114.1
rattlesnake|crovir-protein-523	human|NP_001035214.1
rattlesnake|crovir-protein-522	human|NP_001080.2
rattlesnake|crovir-protein-521	human|XP_016879141.1
rattlesnake|crovir-protein-520	human|NP_001166134.1
rattlesnake|crovir-protein-7384	human|XP_024304570.1
rattlesnake|crovir-protein-1871	human|XP_005250693.1
rattlesnake|crovir-protein-14821	human|NP_001171748.1
rattlesnake|crovir-protein-7383	human|XP_024304570.1
rattlesnake|crovir-protein-1870	human|NP_066990.3
rattlesnake|crovir-protein-7382	human|XP_024304570.1
rattlesnake|crovir-protein-1109	human|XP_005244829.1
rattlesnake|crovir-protein-1108	human|XP_011539832.1
rattlesnake|crovir-protein-14702	human|NP_859059.1
rattlesnake|crovir-protein-5138	human|NP_001178253.2
rattlesnake|crovir-protein-5139	human|NP_065856.1
rattlesnake|crovir-protein-5136	human|NP_001229338.1
rattlesnake|crovir-protein-5137	human|NP_060301.2
rattlesnake|crovir-protein-5134	human|NP_057215.3
rattlesnake|crovir-protein-1100	human|NP_005418.1
rattlesnake|crovir-protein-1107	human|XP_011539899.1
rattlesnake|crovir-protein-5133	human|NP_001229338.1
rattlesnake|crovir-protein-1105	human|NP_683763.2
rattlesnake|crovir-protein-5131	human|NP_001295055.1
rattlesnake|crovir-protein-2940	human|NP_001093110.1
rattlesnake|crovir-protein-14820	human|NP_006512.2
rattlesnake|crovir-protein-12534	human|NP_776251.1
rattlesnake|crovir-protein-15779	human|NP_001098028.1
rattlesnake|crovir-protein-8427	human|NP_001074008.1
rattlesnake|crovir-protein-8426	human|NP_061720.2
rattlesnake|crovir-protein-8425	human|NP_004217.1
rattlesnake|crovir-protein-8424	human|NP_001012271.1
rattlesnake|crovir-protein-8423	human|NP_001120729.1
rattlesnake|crovir-protein-8422	human|XP_011508854.1
rattlesnake|crovir-protein-8421	human|XP_011508854.1
rattlesnake|crovir-protein-2235	human|NP_001193409.1
rattlesnake|crovir-protein-8818	human|NP_061764.2
rattlesnake|crovir-protein-8429	human|NP_001074008.1
rattlesnake|crovir-protein-8428	human|NP_001074008.1
rattlesnake|crovir-protein-4559	human|NP_004677.3
rattlesnake|crovir-protein-4558	human|NP_062825.1
rattlesnake|crovir-protein-12537	human|NP_004943.1
rattlesnake|crovir-protein-4553	human|XP_011542846.1
rattlesnake|crovir-protein-2230	human|NP_001287864.1
rattlesnake|crovir-protein-4551	human|NP_001343358.1
rattlesnake|crovir-protein-4557	human|NP_859074.1
rattlesnake|crovir-protein-4556	human|NP_689628.2
rattlesnake|crovir-protein-4555	human|NP_004172.2
rattlesnake|crovir-protein-4554	human|NP_001158243.1
rattlesnake|crovir-protein-15113	human|NP_112589.1
rattlesnake|crovir-protein-5203	human|XP_011523957.1
rattlesnake|crovir-protein-2545	human|NP_835465.2
rattlesnake|crovir-protein-3893	human|NP_001244946.1
rattlesnake|crovir-protein-14822	human|XP_016884680.1
rattlesnake|crovir-protein-8813	human|NP_904357.1
rattlesnake|crovir-protein-3327	human|NP_000443.1
rattlesnake|crovir-protein-5994	human|NP_056362.1
rattlesnake|crovir-protein-8811	human|XP_011508705.1
rattlesnake|crovir-protein-5995	human|NP_001303864.1
rattlesnake|crovir-protein-3582	human|NP_006511.1
rattlesnake|crovir-protein-8816	human|NP_150094.5
rattlesnake|crovir-protein-1471	human|NP_003163.1
rattlesnake|crovir-protein-3320	human|NP_005064.1
rattlesnake|crovir-protein-14825	human|XP_016884680.1
rattlesnake|crovir-protein-12401	human|NP_068810.3
rattlesnake|crovir-protein-10213	human|XP_005270330.1
rattlesnake|crovir-protein-5997	human|NP_060557.3
rattlesnake|crovir-protein-3323	human|NP_001273768.1
rattlesnake|crovir-protein-17160	human|XP_011543191.1
rattlesnake|crovir-protein-5990	human|NP_788954.2
rattlesnake|crovir-protein-3322	human|NP_001273768.1
rattlesnake|crovir-protein-17163	human|NP_055495.2
rattlesnake|crovir-protein-1476	human|XP_011539410.2
rattlesnake|crovir-protein-12402	human|NP_001337212.1
rattlesnake|crovir-protein-5992	human|XP_011527866.1
rattlesnake|crovir-protein-17165	human|NP_001339.1
rattlesnake|crovir-protein-5993	human|XP_016855969.1
rattlesnake|crovir-protein-11680	human|NP_079501.2
rattlesnake|crovir-protein-12404	human|NP_002212.3
rattlesnake|crovir-protein-12654	human|NP_006491.2
rattlesnake|crovir-protein-12655	human|NP_113621.1
rattlesnake|crovir-protein-12656	human|NP_001135977.1
rattlesnake|crovir-protein-12657	human|NP_004196.4
rattlesnake|crovir-protein-12650	human|NP_114404.1
rattlesnake|crovir-protein-12651	human|NP_005179.2
rattlesnake|crovir-protein-12652	human|NP_001269072.1
rattlesnake|crovir-protein-12653	human|NP_001171271.1
rattlesnake|crovir-protein-17166	human|NP_073597.2
rattlesnake|crovir-protein-12659	human|NP_002846.3
rattlesnake|crovir-protein-8413	human|NP_001165980.1
rattlesnake|crovir-protein-14827	human|NP_055050.1
rattlesnake|crovir-protein-12050	human|NP_005641.1
rattlesnake|crovir-protein-3214	human|NP_003692.1
rattlesnake|crovir-protein-6955	human|NP_001344607.1
rattlesnake|crovir-protein-6954	human|XP_016876880.1
rattlesnake|crovir-protein-6957	human|NP_055565.3
rattlesnake|crovir-protein-6956	human|XP_011535664.2
rattlesnake|crovir-protein-6951	human|XP_011535022.1
rattlesnake|crovir-protein-6950	human|NP_001001872.2
rattlesnake|crovir-protein-6953	human|NP_055739.2
rattlesnake|crovir-protein-6952	human|XP_011535262.1
rattlesnake|crovir-protein-6959	human|NP_000152.1
rattlesnake|crovir-protein-6958	human|NP_009017.1
rattlesnake|crovir-protein-15735	human|NP_689618.4
rattlesnake|crovir-protein-9658	human|NP_996816.2
rattlesnake|crovir-protein-7394	human|NP_000061.1
rattlesnake|crovir-protein-14716	human|XP_005268968.1
rattlesnake|crovir-protein-14715	human|XP_016874997.1
rattlesnake|crovir-protein-14714	human|NP_110436.1
rattlesnake|crovir-protein-14713	human|NP_001166167.1
rattlesnake|crovir-protein-14712	human|NP_000776.1
rattlesnake|crovir-protein-7392	human|NP_001317531.1
rattlesnake|crovir-protein-7393	human|NP_937784.2
rattlesnake|crovir-protein-7398	human|NP_663768.1
rattlesnake|crovir-protein-7399	human|NP_060843.2
rattlesnake|crovir-protein-14719	human|XP_011537080.1
rattlesnake|crovir-protein-14718	human|XP_016874640.1
rattlesnake|crovir-protein-5851	human|NP_060423.3
rattlesnake|crovir-protein-16974	human|NP_002387.1
rattlesnake|crovir-protein-16977	human|NP_001291438.1
rattlesnake|crovir-protein-16976	human|NP_001073936.1
rattlesnake|crovir-protein-16971	human|NP_005350.1
rattlesnake|crovir-protein-16970	human|NP_002738.2
rattlesnake|crovir-protein-16973	human|NP_001034624.1
rattlesnake|crovir-protein-16972	human|NP_005715.1
rattlesnake|crovir-protein-16979	human|NP_061166.1
rattlesnake|crovir-protein-16978	human|NP_001073936.1
rattlesnake|crovir-protein-15597	human|XP_005272105.1
rattlesnake|crovir-protein-2518	human|NP_076937.2
rattlesnake|crovir-protein-9909	human|NP_444515.1
rattlesnake|crovir-protein-9908	human|NP_808218.1
rattlesnake|crovir-protein-9903	human|NP_057144.1
rattlesnake|crovir-protein-9902	human|XP_005258027.1
rattlesnake|crovir-protein-9900	human|NP_001071089.1
rattlesnake|crovir-protein-9907	human|NP_001108446.1
rattlesnake|crovir-protein-9906	human|XP_011522392.1
rattlesnake|crovir-protein-9904	human|NP_112497.2
rattlesnake|crovir-protein-897	human|NP_005175.2
rattlesnake|crovir-protein-896	human|XP_011511917.1
rattlesnake|crovir-protein-895	human|NP_001307925.1
rattlesnake|crovir-protein-894	human|NP_004805.2
rattlesnake|crovir-protein-893	human|NP_001257323.1
rattlesnake|crovir-protein-892	human|NP_078779.2
rattlesnake|crovir-protein-890	human|NP_001947.1
rattlesnake|crovir-protein-13293	human|XP_005264880.1
rattlesnake|crovir-protein-13292	human|NP_005286.2
rattlesnake|crovir-protein-13291	human|NP_951032.1
rattlesnake|crovir-protein-13290	human|NP_001336142.1
rattlesnake|crovir-protein-13297	human|NP_054752.3
rattlesnake|crovir-protein-13296	human|XP_016867690.1
rattlesnake|crovir-protein-13295	human|XP_016867690.1
rattlesnake|crovir-protein-13294	human|NP_002283.3
rattlesnake|crovir-protein-1371	human|XP_024303314.1
rattlesnake|crovir-protein-16629	human|NP_001288130.1
rattlesnake|crovir-protein-16628	human|XP_011526387.1
rattlesnake|crovir-protein-13375	human|NP_061146.1
rattlesnake|crovir-protein-16625	human|XP_005259627.3
rattlesnake|crovir-protein-16624	human|XP_011543540.1
rattlesnake|crovir-protein-16627	human|NP_115517.1
rattlesnake|crovir-protein-16626	human|NP_005841.1
rattlesnake|crovir-protein-16621	human|NP_001316168.1
rattlesnake|crovir-protein-5013	human|NP_001274069.1
rattlesnake|crovir-protein-10489	human|NP_004123.1
rattlesnake|crovir-protein-10488	human|NP_001253986.1
rattlesnake|crovir-protein-10483	human|XP_016872284.1
rattlesnake|crovir-protein-10482	human|NP_001308758.1
rattlesnake|crovir-protein-10481	human|NP_065991.3
rattlesnake|crovir-protein-10480	human|XP_006717900.1
rattlesnake|crovir-protein-10487	human|NP_001248392.1
rattlesnake|crovir-protein-10486	human|NP_001258745.1
rattlesnake|crovir-protein-10485	human|XP_016871666.1
rattlesnake|crovir-protein-10484	human|NP_942090.1
rattlesnake|crovir-protein-11286	human|NP_001119603.1
rattlesnake|crovir-protein-11287	human|NP_001106849.1
rattlesnake|crovir-protein-11284	human|NP_001701.2
rattlesnake|crovir-protein-11285	human|NP_001119603.1
rattlesnake|crovir-protein-11282	human|NP_001294881.1
rattlesnake|crovir-protein-11283	human|NP_005702.3
rattlesnake|crovir-protein-11280	human|NP_689472.3
rattlesnake|crovir-protein-11281	human|NP_056021.1
rattlesnake|crovir-protein-3045	human|NP_892003.2
rattlesnake|crovir-protein-11288	human|NP_002895.3
rattlesnake|crovir-protein-11289	human|NP_001005404.1
rattlesnake|crovir-protein-15996	human|NP_065858.1
rattlesnake|crovir-protein-15997	human|NP_000187.3
rattlesnake|crovir-protein-15994	human|NP_037374.1
rattlesnake|crovir-protein-15992	human|NP_001305131.1
rattlesnake|crovir-protein-15993	human|NP_001887.1
rattlesnake|crovir-protein-15990	human|NP_001020366.1
rattlesnake|crovir-protein-15991	human|NP_001073961.1
rattlesnake|crovir-protein-15440	human|XP_016870146.1
rattlesnake|crovir-protein-15443	human|NP_000680.2
rattlesnake|crovir-protein-15444	human|XP_011543306.1
rattlesnake|crovir-protein-15445	human|XP_005274365.2
rattlesnake|crovir-protein-15446	human|XP_005252096.1
rattlesnake|crovir-protein-15447	human|XP_005252096.1
rattlesnake|crovir-protein-9640	human|NP_062551.1
rattlesnake|crovir-protein-3679	human|NP_056173.1
rattlesnake|crovir-protein-3678	human|NP_001307643.1
rattlesnake|crovir-protein-16450	human|NP_775781.1
rattlesnake|crovir-protein-9641	human|XP_011513026.1
rattlesnake|crovir-protein-3673	human|NP_005060.1
rattlesnake|crovir-protein-3672	human|NP_006043.1
rattlesnake|crovir-protein-3671	human|NP_001139549.1
rattlesnake|crovir-protein-3670	human|NP_001339443.1
rattlesnake|crovir-protein-3677	human|NP_005432.1
rattlesnake|crovir-protein-3676	human|NP_001748.1
rattlesnake|crovir-protein-3675	human|NP_059134.1
rattlesnake|crovir-protein-3674	human|XP_016883947.1
rattlesnake|crovir-protein-6043	human|NP_078879.2
rattlesnake|crovir-protein-880	human|NP_001284487.1
rattlesnake|crovir-protein-6041	human|NP_008982.1
rattlesnake|crovir-protein-9643	human|NP_055203.4
rattlesnake|crovir-protein-6047	human|NP_061946.1
rattlesnake|crovir-protein-6046	human|NP_004465.3
rattlesnake|crovir-protein-6045	human|XP_006710703.1
rattlesnake|crovir-protein-6044	human|XP_011540610.1
rattlesnake|crovir-protein-9644	human|XP_006711325.1
rattlesnake|crovir-protein-6049	human|NP_003675.2
rattlesnake|crovir-protein-6048	human|XP_011539226.1
rattlesnake|crovir-protein-882	human|XP_011539301.1
rattlesnake|crovir-protein-14877	human|NP_001560.2
rattlesnake|crovir-protein-883	human|XP_011539301.1
rattlesnake|crovir-protein-11758	human|XP_016871417.1
rattlesnake|crovir-protein-11759	human|XP_016871417.1
rattlesnake|crovir-protein-11754	human|NP_036470.1
rattlesnake|crovir-protein-11755	human|NP_061944.2
rattlesnake|crovir-protein-11756	human|NP_036413.1
rattlesnake|crovir-protein-9647	human|NP_056286.3
rattlesnake|crovir-protein-11750	human|NP_005754.2
rattlesnake|crovir-protein-11751	human|NP_001035109.1
rattlesnake|crovir-protein-11752	human|NP_002842.2
rattlesnake|crovir-protein-13285	human|NP_001307509.1
rattlesnake|crovir-protein-2818	human|NP_061160.3
rattlesnake|crovir-protein-2819	human|NP_001171569.1
rattlesnake|crovir-protein-15668	human|NP_001124507.1
rattlesnake|crovir-protein-13286	human|XP_006713191.1
rattlesnake|crovir-protein-15198	human|NP_057953.1
rattlesnake|crovir-protein-15199	human|NP_076424.1
rattlesnake|crovir-protein-15196	human|NP_000628.2
rattlesnake|crovir-protein-15197	human|NP_003019.2
rattlesnake|crovir-protein-15194	human|NP_001530.1
rattlesnake|crovir-protein-2813	human|NP_067055.1
rattlesnake|crovir-protein-15192	human|NP_001009552.1
rattlesnake|crovir-protein-15193	human|NP_003641.3
rattlesnake|crovir-protein-2816	human|XP_011522183.1
rattlesnake|crovir-protein-15191	human|NP_006678.1
rattlesnake|crovir-protein-3497	human|XP_005274689.2
rattlesnake|crovir-protein-3495	human|NP_872621.1
rattlesnake|crovir-protein-3494	human|NP_523353.2
rattlesnake|crovir-protein-3492	human|NP_000372.1
rattlesnake|crovir-protein-3491	human|NP_000372.1
rattlesnake|crovir-protein-3490	human|NP_005496.4
rattlesnake|crovir-protein-3499	human|XP_005274689.2
rattlesnake|crovir-protein-3498	human|NP_066932.1
rattlesnake|crovir-protein-5635	human|NP_001311045.1
rattlesnake|crovir-protein-5637	human|NP_057019.3
rattlesnake|crovir-protein-5636	human|NP_001014796.1
rattlesnake|crovir-protein-5631	human|NP_001451.2
rattlesnake|crovir-protein-5630	human|XP_005245072.1
rattlesnake|crovir-protein-5633	human|NP_001451.2
rattlesnake|crovir-protein-5632	human|NP_001269621.1
rattlesnake|crovir-protein-13372	human|NP_954863.2
rattlesnake|crovir-protein-5638	human|NP_057455.1
rattlesnake|crovir-protein-5003	human|NP_060910.3
rattlesnake|crovir-protein-2726	human|NP_002966.1
rattlesnake|crovir-protein-2727	human|XP_011525315.1
rattlesnake|crovir-protein-2724	human|XP_011525315.1
rattlesnake|crovir-protein-2725	human|NP_001035257.1
rattlesnake|crovir-protein-2722	human|NP_001153800.1
rattlesnake|crovir-protein-2723	human|XP_011525315.1
rattlesnake|crovir-protein-2720	human|NP_001182005.1
rattlesnake|crovir-protein-2721	human|XP_006723226.1
rattlesnake|crovir-protein-2728	human|NP_001164606.1
rattlesnake|crovir-protein-2729	human|NP_001257568.1
rattlesnake|crovir-protein-9770	human|NP_620156.1
rattlesnake|crovir-protein-11637	human|NP_001139200.1
rattlesnake|crovir-protein-11636	human|NP_001158218.1
rattlesnake|crovir-protein-11635	human|NP_003508.1
rattlesnake|crovir-protein-11634	human|NP_443117.3
rattlesnake|crovir-protein-11633	human|NP_001135757.1
rattlesnake|crovir-protein-11632	human|NP_001193943.1
rattlesnake|crovir-protein-11631	human|NP_002826.3
rattlesnake|crovir-protein-11630	human|NP_005155.1
rattlesnake|crovir-protein-5491	human|NP_000352.1
rattlesnake|crovir-protein-11639	human|NP_110389.1
rattlesnake|crovir-protein-11638	human|NP_066924.1
rattlesnake|crovir-protein-5099	human|NP_001273586.1
rattlesnake|crovir-protein-5098	human|NP_001273586.1
rattlesnake|crovir-protein-14234	human|NP_006347.1
rattlesnake|crovir-protein-5091	human|NP_005855.1
rattlesnake|crovir-protein-5090	human|NP_001304978.1
rattlesnake|crovir-protein-5093	human|NP_001139699.1
rattlesnake|crovir-protein-5092	human|NP_005855.1
rattlesnake|crovir-protein-5095	human|NP_005724.1
rattlesnake|crovir-protein-5094	human|NP_001108106.1
rattlesnake|crovir-protein-5097	human|NP_001273586.1
rattlesnake|crovir-protein-5096	human|XP_011515831.1
rattlesnake|crovir-protein-16639	human|NP_001340669.1
rattlesnake|crovir-protein-78	human|NP_004950.2
rattlesnake|crovir-protein-12905	human|NP_919270.2
rattlesnake|crovir-protein-77	human|NP_114129.1
rattlesnake|crovir-protein-74	human|XP_011543407.1
rattlesnake|crovir-protein-75	human|XP_005262184.1
rattlesnake|crovir-protein-72	human|XP_011529405.1
rattlesnake|crovir-protein-73	human|NP_741995.1
rattlesnake|crovir-protein-70	human|NP_001269803.1
rattlesnake|crovir-protein-71	human|XP_005274379.1
rattlesnake|crovir-protein-4945	human|NP_001139332.1
rattlesnake|crovir-protein-4946	human|NP_002371.3
rattlesnake|crovir-protein-4947	human|NP_060877.3
rattlesnake|crovir-protein-4940	human|NP_001273770.1
rattlesnake|crovir-protein-4941	human|NP_000980.1
rattlesnake|crovir-protein-4942	human|NP_001308564.1
rattlesnake|crovir-protein-4943	human|NP_005827.1
rattlesnake|crovir-protein-12752	human|NP_112597.3
rattlesnake|crovir-protein-12900	human|XP_005263971.1
rattlesnake|crovir-protein-4948	human|XP_011515669.1
rattlesnake|crovir-protein-4949	human|NP_057218.1
rattlesnake|crovir-protein-5498	human|XP_006723661.1
rattlesnake|crovir-protein-9293	human|NP_001290182.1
rattlesnake|crovir-protein-9292	human|NP_115921.2
rattlesnake|crovir-protein-9291	human|XP_016865764.1
rattlesnake|crovir-protein-9290	human|XP_016866397.1
rattlesnake|crovir-protein-9297	human|XP_016867003.1
rattlesnake|crovir-protein-9296	human|NP_110379.2
rattlesnake|crovir-protein-9295	human|NP_000627.2
rattlesnake|crovir-protein-9294	human|NP_001290182.1
rattlesnake|crovir-protein-9299	human|XP_011534286.2
rattlesnake|crovir-protein-9298	human|XP_016867003.1
rattlesnake|crovir-protein-16368	human|NP_001137251.1
rattlesnake|crovir-protein-5890	human|NP_000950.1
rattlesnake|crovir-protein-1732	human|XP_011532633.1
rattlesnake|crovir-protein-1733	human|XP_005264880.1
rattlesnake|crovir-protein-5895	human|NP_777283.1
rattlesnake|crovir-protein-9128	human|NP_036391.1
rattlesnake|crovir-protein-5897	human|XP_016856096.1
rattlesnake|crovir-protein-5896	human|NP_112227.1
rattlesnake|crovir-protein-16360	human|NP_001157844.1
rattlesnake|crovir-protein-5898	human|NP_001272972.1
rattlesnake|crovir-protein-9127	human|NP_001305832.1
rattlesnake|crovir-protein-9126	human|XP_011533796.1
rattlesnake|crovir-protein-9121	human|NP_001132982.1
