"Crovir_ID","Crovir_ProtID","HumanID"
"crovir-transcript-1763","crovir-protein-1763","NP_001254751.1"
"crovir-transcript-1764","crovir-protein-1764","NP_065178.1"
"crovir-transcript-1773","crovir-protein-1773","NP_570629.2"
"crovir-transcript-1774","crovir-protein-1774","NP_031375.3"
"crovir-transcript-1775","crovir-protein-1775","NP_001333519.1"
"crovir-transcript-1780","crovir-protein-1780","NP_055070.1"
"crovir-transcript-1778","crovir-protein-1778","XP_005249588.1"
"crovir-transcript-1786","crovir-protein-1786","NP_001337882.1"
"crovir-transcript-1783","crovir-protein-1783","NP_001340295.1"
"crovir-transcript-1785","crovir-protein-1785","NP_005506.3"
"crovir-transcript-1788","crovir-protein-1788","NP_055486.2"
"crovir-transcript-1787","crovir-protein-1787","XP_005249572.1"
"crovir-transcript-1789","crovir-protein-1789","NP_001295197.1"
"crovir-transcript-1790","crovir-protein-1790","NP_001295197.1"
"crovir-transcript-1793","crovir-protein-1793","NP_001268862.1"
"crovir-transcript-1792","crovir-protein-1792","XP_024302613.1"
"crovir-transcript-1791","crovir-protein-1791","XP_006716104.1"
"crovir-transcript-1794","crovir-protein-1794","XP_024302682.1"
"crovir-transcript-1796","crovir-protein-1796","NP_006615.2"
"crovir-transcript-1795","crovir-protein-1795","XP_011517730.1"
"crovir-transcript-1799","crovir-protein-1799","XP_016871476.1"
"crovir-transcript-1797","crovir-protein-1797","NP_036473.2"
"crovir-transcript-1798","crovir-protein-1798","NP_004499.2"
"crovir-transcript-1800","crovir-protein-1800","NP_054742.2"
"crovir-transcript-1803","crovir-protein-1803","XP_016868494.1"
"crovir-transcript-1804","crovir-protein-1804","XP_005252522.1"
"crovir-transcript-1805","crovir-protein-1805","NP_001229236.1"
"crovir-transcript-1806","crovir-protein-1806","NP_659449.3"
"crovir-transcript-1813","crovir-protein-1813","XP_024303592.1"
"crovir-transcript-1812","crovir-protein-1812","XP_011518045.1"
"crovir-transcript-1811","crovir-protein-1811","XP_016871599.1"
"crovir-transcript-1810","crovir-protein-1810","XP_011518045.1"
"crovir-transcript-1809","crovir-protein-1809","XP_011518045.1"
"crovir-transcript-1814","crovir-protein-1814","XP_016884318.1"
"crovir-transcript-1816","crovir-protein-1816","NP_062565.2"
"crovir-transcript-1815","crovir-protein-1815","NP_062565.2"
"crovir-transcript-1817","crovir-protein-1817","NP_062565.2"
"crovir-transcript-1818","crovir-protein-1818","NP_062565.2"
"crovir-transcript-1821","crovir-protein-1821","XP_006717584.1"
"crovir-transcript-1819","crovir-protein-1819","XP_006717584.1"
"crovir-transcript-1820","crovir-protein-1820","NP_391988.1"
"crovir-transcript-1822","crovir-protein-1822",NA
"crovir-transcript-1825","crovir-protein-1825","NP_001308044.1"
"crovir-transcript-1824","crovir-protein-1824","NP_079485.1"
"crovir-transcript-1823","crovir-protein-1823","NP_004512.1"
"crovir-transcript-1827","crovir-protein-1827","NP_060757.4"
"crovir-transcript-1828","crovir-protein-1828","NP_001167567.1"
"crovir-transcript-1829","crovir-protein-1829","XP_024303906.1"
"crovir-transcript-1830","crovir-protein-1830","NP_001336951.1"
"crovir-transcript-1832","crovir-protein-1832","NP_060579.3"
"crovir-transcript-1831","crovir-protein-1831","NP_001231063.1"
"crovir-transcript-1833","crovir-protein-1833","NP_036474.1"
"crovir-transcript-1834","crovir-protein-1834","NP_057712.2"
"crovir-transcript-1838","crovir-protein-1838","XP_016871230.1"
"crovir-transcript-1836","crovir-protein-1836","XP_024303817.1"
"crovir-transcript-1839","crovir-protein-1839","NP_001243339.1"
"crovir-transcript-1840","crovir-protein-1840","NP_001030014.2"
"crovir-transcript-1844","crovir-protein-1844","NP_647473.1"
"crovir-transcript-1842","crovir-protein-1842","NP_001307686.1"
"crovir-transcript-1843","crovir-protein-1843","XP_016872373.1"
"crovir-transcript-1841","crovir-protein-1841","NP_005461.2"
"crovir-transcript-1845","crovir-protein-1845","NP_055132.2"
"crovir-transcript-1848","crovir-protein-1848","NP_113642.1"
"crovir-transcript-1853","crovir-protein-1853","NP_061916.3"
"crovir-transcript-1854","crovir-protein-1854","NP_004932.1"
"crovir-transcript-1850","crovir-protein-1850","NP_004932.1"
"crovir-transcript-1849","crovir-protein-1849","NP_004932.1"
"crovir-transcript-1846","crovir-protein-1846","NP_733752.1"
"crovir-transcript-1851","crovir-protein-1851","NP_057640.1"
"crovir-transcript-1852","crovir-protein-1852","NP_835227.1"
"crovir-transcript-1847","crovir-protein-1847","XP_024306672.1"
"crovir-transcript-1859","crovir-protein-1859","XP_016880602.1"
"crovir-transcript-1855","crovir-protein-1855","NP_112477.1"
"crovir-transcript-1864","crovir-protein-1864","NP_065803.2"
"crovir-transcript-1863","crovir-protein-1863","NP_079114.3"
"crovir-transcript-1862","crovir-protein-1862","NP_659447.1"
"crovir-transcript-1861","crovir-protein-1861","NP_064585.1"
"crovir-transcript-1866","crovir-protein-1866","XP_011517904.1"
"crovir-transcript-1865","crovir-protein-1865","NP_078869.1"
"crovir-transcript-1871","crovir-protein-1871","XP_005250693.1"
"crovir-transcript-1868","crovir-protein-1868","NP_000457.1"
"crovir-transcript-1869","crovir-protein-1869","XP_005253227.2"
"crovir-transcript-1870","crovir-protein-1870","NP_066990.3"
"crovir-transcript-1867","crovir-protein-1867","NP_000828.1"
"crovir-transcript-1874","crovir-protein-1874","NP_061877.1"
"crovir-transcript-1872","crovir-protein-1872","NP_001337601.1"
"crovir-transcript-1873","crovir-protein-1873","NP_000777.1"
"crovir-transcript-1875","crovir-protein-1875","XP_016867131.1"
"crovir-transcript-1877","crovir-protein-1877","NP_004330.1"
"crovir-transcript-1879","crovir-protein-1879","NP_001172001.1"
"crovir-transcript-1878","crovir-protein-1878","NP_149098.2"
"crovir-transcript-1880","crovir-protein-1880","NP_115699.1"
"crovir-transcript-1881","crovir-protein-1881","NP_036581.1"
"crovir-transcript-1884","crovir-protein-1884","NP_006007.2"
"crovir-transcript-1886","crovir-protein-1886","NP_001192244.1"
"crovir-transcript-1887","crovir-protein-1887","NP_003121.1"
"crovir-transcript-1888","crovir-protein-1888","XP_006716091.1"
"crovir-transcript-1894","crovir-protein-1894","NP_006707.1"
"crovir-transcript-1895","crovir-protein-1895","NP_612147.1"
"crovir-transcript-1889","crovir-protein-1889","NP_001335874.1"
"crovir-transcript-1892","crovir-protein-1892","NP_001137407.1"
"crovir-transcript-1891","crovir-protein-1891","NP_001137407.1"
"crovir-transcript-1899","crovir-protein-1899","NP_001034933.1"
"crovir-transcript-1898","crovir-protein-1898","XP_016872436.1"
"crovir-transcript-1897","crovir-protein-1897","NP_001010924.1"
"crovir-transcript-1896","crovir-protein-1896","NP_001010924.1"
"crovir-transcript-1901","crovir-protein-1901","NP_079224.1"
"crovir-transcript-1902","crovir-protein-1902","XP_006716872.1"
"crovir-transcript-1903","crovir-protein-1903","XP_016872416.1"
"crovir-transcript-1904","crovir-protein-1904","NP_001010908.1"
"crovir-transcript-1908","crovir-protein-1908","XP_005252609.1"
"crovir-transcript-1906","crovir-protein-1906","NP_001072.2"
"crovir-transcript-1907","crovir-protein-1907","NP_004403.1"
"crovir-transcript-1905","crovir-protein-1905","NP_003371.2"
"crovir-transcript-1923","crovir-protein-1923","NP_055056.3"
"crovir-transcript-1917","crovir-protein-1917","NP_003464.1"
"crovir-transcript-1918","crovir-protein-1918","NP_002429.1"
"crovir-transcript-1919","crovir-protein-1919","NP_002429.1"
"crovir-transcript-1920","crovir-protein-1920","NP_002429.1"
"crovir-transcript-1924","crovir-protein-1924",NA
"crovir-transcript-1921","crovir-protein-1921","NP_002429.1"
"crovir-transcript-1909","crovir-protein-1909","NP_002429.1"
"crovir-transcript-1912","crovir-protein-1912","NP_963890.2"
"crovir-transcript-1915","crovir-protein-1915","XP_011517685.1"
"crovir-transcript-1916","crovir-protein-1916","XP_011517685.1"
"crovir-transcript-1914","crovir-protein-1914","XP_011517685.1"
"crovir-transcript-1913","crovir-protein-1913","NP_848930.1"
"crovir-transcript-1925","crovir-protein-1925","XP_011518052.1"
"crovir-transcript-1927","crovir-protein-1927","NP_006384.1"
"crovir-transcript-1931","crovir-protein-1931","NP_001287791.1"
"crovir-transcript-1929","crovir-protein-1929","XP_024303947.1"
"crovir-transcript-1930","crovir-protein-1930","NP_071760.2"
"crovir-transcript-1928","crovir-protein-1928","NP_071760.2"
"crovir-transcript-1935","crovir-protein-1935",NA
"crovir-transcript-1933","crovir-protein-1933","NP_005171.4"
"crovir-transcript-1932","crovir-protein-1932","NP_036575.1"
"crovir-transcript-1934","crovir-protein-1934","NP_005019.2"
"crovir-transcript-1937","crovir-protein-1937","NP_775104.2"
"crovir-transcript-1948","crovir-protein-1948","XP_011517854.2"
"crovir-transcript-1946","crovir-protein-1946","XP_011517854.2"
"crovir-transcript-1949","crovir-protein-1949","NP_690002.2"
"crovir-transcript-1953","crovir-protein-1953","NP_001138778.1"
"crovir-transcript-1952","crovir-protein-1952","NP_001275733.1"
"crovir-transcript-1951","crovir-protein-1951","NP_060137.2"
"crovir-transcript-1944","crovir-protein-1944","NP_006519.1"
"crovir-transcript-1941","crovir-protein-1941","NP_004117.1"
"crovir-transcript-1954","crovir-protein-1954","NP_000080.2"
"crovir-transcript-1966","crovir-protein-1966","NP_075051.4"
"crovir-transcript-1967","crovir-protein-1967","XP_011514965.1"
"crovir-transcript-1965","crovir-protein-1965","XP_011514682.1"
"crovir-transcript-1959","crovir-protein-1959","NP_000296.2"
"crovir-transcript-1958","crovir-protein-1958","NP_002603.1"
"crovir-transcript-1960","crovir-protein-1960","XP_006711626.1"
"crovir-transcript-1956","crovir-protein-1956","NP_001258016.1"
"crovir-transcript-1971","crovir-protein-1971","NP_004402.1"
"crovir-transcript-1972","crovir-protein-1972","XP_006715894.1"
"crovir-transcript-1963","crovir-protein-1963",NA
"crovir-transcript-1961","crovir-protein-1961","NP_005213.3"
"crovir-transcript-1964","crovir-protein-1964","NP_005212.1"
"crovir-transcript-1962","crovir-protein-1962","NP_064571.1"
"crovir-transcript-1968","crovir-protein-1968","NP_003173.1"
"crovir-transcript-1970","crovir-protein-1970","NP_001339425.1"
"crovir-transcript-1969","crovir-protein-1969","XP_005249869.1"
"crovir-transcript-1982","crovir-protein-1982","NP_001032852.2"
"crovir-transcript-1980","crovir-protein-1980","NP_061878.3"
"crovir-transcript-1981","crovir-protein-1981","NP_002938.1"
"crovir-transcript-1978","crovir-protein-1978","NP_001289277.1"
"crovir-transcript-1979","crovir-protein-1979","NP_612435.1"
"crovir-transcript-1973","crovir-protein-1973","XP_024302508.1"
"crovir-transcript-1974","crovir-protein-1974","XP_016868300.1"
"crovir-transcript-1975","crovir-protein-1975","XP_016868300.1"
"crovir-transcript-1977","crovir-protein-1977","NP_056019.1"
"crovir-transcript-1988","crovir-protein-1988","NP_001127704.1"
"crovir-transcript-1987","crovir-protein-1987","NP_001106177.1"
"crovir-transcript-1984","crovir-protein-1984","XP_011513469.1"
"crovir-transcript-1985","crovir-protein-1985","NP_001337634.1"
"crovir-transcript-1992","crovir-protein-1992","XP_006715793.1"
"crovir-transcript-1991","crovir-protein-1991","XP_006715793.1"
"crovir-transcript-1990","crovir-protein-1990","XP_006715793.1"
"crovir-transcript-1993","crovir-protein-1993","NP_005915.2"
"crovir-transcript-2004","crovir-protein-2004","NP_001094896.1"
"crovir-transcript-2003","crovir-protein-2003","NP_056279.1"
"crovir-transcript-2005","crovir-protein-2005","NP_064715.1"
"crovir-transcript-2002","crovir-protein-2002","NP_001153239.1"
"crovir-transcript-2000","crovir-protein-2000","NP_055214.1"
"crovir-transcript-2006","crovir-protein-2006","NP_006399.1"
"crovir-transcript-2007","crovir-protein-2007","NP_789783.1"
"crovir-transcript-1994","crovir-protein-1994","NP_001612.1"
"crovir-transcript-1998","crovir-protein-1998","NP_001337791.1"
"crovir-transcript-1997","crovir-protein-1997","XP_016855505.1"
"crovir-transcript-1996","crovir-protein-1996","NP_001010980.1"
"crovir-transcript-1999","crovir-protein-1999","NP_001337791.1"
"crovir-transcript-1995","crovir-protein-1995","NP_848512.1"
"crovir-transcript-2008","crovir-protein-2008","NP_848512.1"
"crovir-transcript-2010","crovir-protein-2010","NP_001002926.1"
"crovir-transcript-2015","crovir-protein-2015","NP_877439.3"
"crovir-transcript-2013","crovir-protein-2013","NP_291025.3"
"crovir-transcript-2011","crovir-protein-2011","NP_002205.1"
"crovir-transcript-2026","crovir-protein-2026","NP_003103.2"
"crovir-transcript-2027","crovir-protein-2027","NP_003103.2"
"crovir-transcript-2018","crovir-protein-2018","XP_005249971.1"
"crovir-transcript-2016","crovir-protein-2016","NP_001307799.1"
"crovir-transcript-2017","crovir-protein-2017",NA
"crovir-transcript-2023","crovir-protein-2023","NP_115970.2"
"crovir-transcript-2020","crovir-protein-2020","XP_006715816.1"
"crovir-transcript-2019","crovir-protein-2019","XP_005249649.1"
"crovir-transcript-2021","crovir-protein-2021","XP_016867165.1"
"crovir-transcript-2022","crovir-protein-2022","NP_612455.1"
"crovir-transcript-2024","crovir-protein-2024","XP_011513391.1"
"crovir-transcript-2041","crovir-protein-2041","NP_037425.1"
"crovir-transcript-2040","crovir-protein-2040","NP_620126.2"
"crovir-transcript-2039","crovir-protein-2039","NP_073562.1"
"crovir-transcript-2037","crovir-protein-2037","NP_954587.2"
"crovir-transcript-2036","crovir-protein-2036","NP_000896.1"
"crovir-transcript-2042","crovir-protein-2042","NP_001289966.1"
"crovir-transcript-2043","crovir-protein-2043","NP_001120925.1"
"crovir-transcript-2044","crovir-protein-2044","NP_056365.1"
"crovir-transcript-2030","crovir-protein-2030","NP_061820.1"
"crovir-transcript-2034","crovir-protein-2034",NA
"crovir-transcript-2033","crovir-protein-2033","NP_004280.5"
"crovir-transcript-2035","crovir-protein-2035",NA
"crovir-transcript-2046","crovir-protein-2046","NP_009207.2"
"crovir-transcript-2045","crovir-protein-2045","NP_001305127.1"
"crovir-transcript-2054","crovir-protein-2054","NP_003921.2"
"crovir-transcript-2053","crovir-protein-2053","NP_001127810.1"
"crovir-transcript-2051","crovir-protein-2051","NP_055435.2"
"crovir-transcript-2060","crovir-protein-2060","NP_689953.1"
"crovir-transcript-2062","crovir-protein-2062","NP_689953.1"
"crovir-transcript-2059","crovir-protein-2059","NP_006015.4"
"crovir-transcript-2064","crovir-protein-2064","XP_016868296.1"
"crovir-transcript-2065","crovir-protein-2065",NA
"crovir-transcript-2066","crovir-protein-2066","NP_001334981.1"
"crovir-transcript-2063","crovir-protein-2063","XP_016867210.1"
"crovir-transcript-2069","crovir-protein-2069","XP_016867210.1"
"crovir-transcript-2067","crovir-protein-2067","NP_001316925.1"
"crovir-transcript-2068","crovir-protein-2068","NP_001073998.2"
"crovir-transcript-2072","crovir-protein-2072","NP_001138986.1"
"crovir-transcript-2071","crovir-protein-2071","NP_060416.1"
"crovir-transcript-2070","crovir-protein-2070","NP_001183955.1"
"crovir-transcript-2082","crovir-protein-2082","NP_005668.2"
"crovir-transcript-2080","crovir-protein-2080","NP_036392.2"
"crovir-transcript-2078","crovir-protein-2078","NP_001268652.1"
"crovir-transcript-2081","crovir-protein-2081","NP_001336206.1"
"crovir-transcript-2083","crovir-protein-2083","NP_872372.1"
"crovir-transcript-2079","crovir-protein-2079","XP_005265616.1"
"crovir-transcript-2073","crovir-protein-2073","XP_011531831.1"
"crovir-transcript-2075","crovir-protein-2075","NP_001137854.1"
"crovir-transcript-2076","crovir-protein-2076","NP_001127853.1"
"crovir-transcript-2077","crovir-protein-2077","NP_001127853.1"
"crovir-transcript-2084","crovir-protein-2084","NP_001182399.1"
"crovir-transcript-2085","crovir-protein-2085","NP_001182399.1"
"crovir-transcript-2095","crovir-protein-2095","NP_004153.2"
"crovir-transcript-2097","crovir-protein-2097","NP_001239586.1"
"crovir-transcript-2096","crovir-protein-2096","NP_003875.3"
"crovir-transcript-2098","crovir-protein-2098","NP_001012410.1"
"crovir-transcript-2088","crovir-protein-2088","XP_016862680.1"
"crovir-transcript-2092","crovir-protein-2092","NP_003332.1"
"crovir-transcript-2093","crovir-protein-2093","NP_065078.1"
"crovir-transcript-2091","crovir-protein-2091","NP_001240308.1"
"crovir-transcript-2094","crovir-protein-2094","NP_005117.3"
"crovir-transcript-2100","crovir-protein-2100","NP_001277145.1"
"crovir-transcript-2106","crovir-protein-2106","NP_001317629.1"
"crovir-transcript-2105","crovir-protein-2105","NP_060767.2"
"crovir-transcript-2104","crovir-protein-2104","NP_060367.1"
"crovir-transcript-2116","crovir-protein-2116","NP_689747.3"
"crovir-transcript-2115","crovir-protein-2115","NP_689747.3"
"crovir-transcript-2114","crovir-protein-2114","NP_001308032.1"
"crovir-transcript-2102","crovir-protein-2102","XP_024309133.1"
"crovir-transcript-2103","crovir-protein-2103","XP_011532311.1"
"crovir-transcript-2109","crovir-protein-2109",NA
"crovir-transcript-2110","crovir-protein-2110","NP_001020018.1"
"crovir-transcript-2117","crovir-protein-2117","NP_997242.2"
"crovir-transcript-2118","crovir-protein-2118","NP_849193.1"
"crovir-transcript-2119","crovir-protein-2119","XP_005264900.1"
"crovir-transcript-2127","crovir-protein-2127","NP_055956.1"
"crovir-transcript-2126","crovir-protein-2126","XP_011531718.1"
"crovir-transcript-2129","crovir-protein-2129","XP_016861135.1"
"crovir-transcript-2132","crovir-protein-2132","NP_057225.2"
"crovir-transcript-2128","crovir-protein-2128","NP_001243671.1"
"crovir-transcript-2122","crovir-protein-2122","NP_001269842.1"
"crovir-transcript-2121","crovir-protein-2121","NP_001138502.1"
"crovir-transcript-2120","crovir-protein-2120","XP_005273982.1"
"crovir-transcript-2134","crovir-protein-2134","XP_016870167.1"
"crovir-transcript-2135","crovir-protein-2135","XP_016870167.1"
"crovir-transcript-2133","crovir-protein-2133","NP_005109.2"
"crovir-transcript-2139","crovir-protein-2139","NP_001342115.1"
"crovir-transcript-2137","crovir-protein-2137","NP_001333393.1"
"crovir-transcript-2138","crovir-protein-2138","NP_001094064.1"
"crovir-transcript-2140","crovir-protein-2140","NP_004835.2"
"crovir-transcript-2141","crovir-protein-2141","XP_011531857.1"
"crovir-transcript-2153","crovir-protein-2153","XP_011510725.1"
"crovir-transcript-2151","crovir-protein-2151","XP_011510725.1"
"crovir-transcript-2154","crovir-protein-2154","XP_011510725.1"
"crovir-transcript-2155","crovir-protein-2155","NP_055417.1"
"crovir-transcript-2143","crovir-protein-2143","XP_005247411.1"
"crovir-transcript-2144","crovir-protein-2144","NP_001275879.1"
"crovir-transcript-2142","crovir-protein-2142","NP_001308150.1"
"crovir-transcript-2146","crovir-protein-2146","NP_001127666.1"
"crovir-transcript-2147","crovir-protein-2147","NP_001316055.1"
"crovir-transcript-2148","crovir-protein-2148","NP_001316055.1"
"crovir-transcript-2159","crovir-protein-2159","NP_115545.3"
"crovir-transcript-2157","crovir-protein-2157","NP_079094.1"
"crovir-transcript-2160","crovir-protein-2160","NP_694972.3"
"crovir-transcript-2156","crovir-protein-2156",NA
"crovir-transcript-2158","crovir-protein-2158","NP_001129941.1"
"crovir-transcript-2161","crovir-protein-2161","NP_001129941.1"
"crovir-transcript-2163","crovir-protein-2163","XP_005247645.1"
"crovir-transcript-2167","crovir-protein-2167","NP_008958.2"
"crovir-transcript-2169","crovir-protein-2169","NP_001286.1"
"crovir-transcript-2165","crovir-protein-2165","NP_001019815.1"
"crovir-transcript-2164","crovir-protein-2164","NP_006555.1"
"crovir-transcript-2162","crovir-protein-2162","NP_078789.2"
"crovir-transcript-2168","crovir-protein-2168","XP_016862134.1"
"crovir-transcript-2180","crovir-protein-2180","NP_064593.1"
"crovir-transcript-2182","crovir-protein-2182","NP_008869.1"
"crovir-transcript-2181","crovir-protein-2181","NP_001306000.1"
"crovir-transcript-2184","crovir-protein-2184","NP_055055.1"
"crovir-transcript-2183","crovir-protein-2183","NP_056155.1"
"crovir-transcript-2179","crovir-protein-2179",NA
"crovir-transcript-2171","crovir-protein-2171","NP_073753.3"
"crovir-transcript-2173","crovir-protein-2173","XP_016862606.1"
"crovir-transcript-2174","crovir-protein-2174","NP_055819.2"
"crovir-transcript-2172","crovir-protein-2172","XP_016862050.1"
"crovir-transcript-2175","crovir-protein-2175","XP_011532344.1"
"crovir-transcript-2176","crovir-protein-2176",NA
"crovir-transcript-2170","crovir-protein-2170","NP_065747.1"
"crovir-transcript-2177","crovir-protein-2177","NP_001091679.1"
"crovir-transcript-2178","crovir-protein-2178","NP_060356.2"
"crovir-transcript-2186","crovir-protein-2186","XP_016861395.1"
"crovir-transcript-2187","crovir-protein-2187","NP_005866.1"
"crovir-transcript-2194","crovir-protein-2194","NP_001271352.1"
"crovir-transcript-2196","crovir-protein-2196","NP_001291217.1"
"crovir-transcript-2195","crovir-protein-2195","NP_060345.2"
"crovir-transcript-2193","crovir-protein-2193","NP_001303969.1"
"crovir-transcript-2190","crovir-protein-2190","NP_006362.1"
"crovir-transcript-2198","crovir-protein-2198","NP_001121633.1"
"crovir-transcript-2199","crovir-protein-2199","XP_006713103.1"
"crovir-transcript-2197","crovir-protein-2197","NP_001155901.1"
"crovir-transcript-2189","crovir-protein-2189","NP_002809.2"
"crovir-transcript-2203","crovir-protein-2203","XP_011531600.1"
"crovir-transcript-2205","crovir-protein-2205","NP_001258867.1"
"crovir-transcript-2204","crovir-protein-2204","NP_005348.2"
"crovir-transcript-2200","crovir-protein-2200","XP_024309490.1"
"crovir-transcript-2201","crovir-protein-2201","NP_208382.1"
"crovir-transcript-2208","crovir-protein-2208","XP_016863060.1"
"crovir-transcript-2206","crovir-protein-2206","NP_000240.1"
"crovir-transcript-2207","crovir-protein-2207","NP_000240.1"
"crovir-transcript-2209","crovir-protein-2209","NP_006300.1"
"crovir-transcript-2212","crovir-protein-2212","XP_005265126.1"
"crovir-transcript-2210","crovir-protein-2210","NP_002198.2"
"crovir-transcript-2211","crovir-protein-2211","NP_002198.2"
"crovir-transcript-2215","crovir-protein-2215","NP_006649.2"
"crovir-transcript-2216","crovir-protein-2216","XP_016859783.1"
"crovir-transcript-2222","crovir-protein-2222","NP_036454.1"
"crovir-transcript-2221","crovir-protein-2221","XP_005249725.1"
"crovir-transcript-2224","crovir-protein-2224","NP_056298.2"
"crovir-transcript-2225","crovir-protein-2225","NP_976033.1"
"crovir-transcript-2220","crovir-protein-2220","NP_001271270.1"
"crovir-transcript-2223","crovir-protein-2223","NP_001002010.2"
"crovir-transcript-2218","crovir-protein-2218","NP_001334970.1"
"crovir-transcript-2217","crovir-protein-2217","NP_597725.1"
"crovir-transcript-2231","crovir-protein-2231","XP_011513547.1"
"crovir-transcript-2227","crovir-protein-2227","NP_071768.3"
"crovir-transcript-2226","crovir-protein-2226","XP_011513958.1"
"crovir-transcript-2228","crovir-protein-2228","NP_085139.2"
"crovir-transcript-2229","crovir-protein-2229","XP_005249746.1"
"crovir-transcript-2235","crovir-protein-2235","NP_001193409.1"
"crovir-transcript-2234","crovir-protein-2234","NP_060019.2"
"crovir-transcript-2239","crovir-protein-2239","NP_114405.1"
"crovir-transcript-2241","crovir-protein-2241","XP_016867484.1"
"crovir-transcript-2242","crovir-protein-2242","NP_055211.2"
"crovir-transcript-2240","crovir-protein-2240","NP_001599.1"
"crovir-transcript-2237","crovir-protein-2237","NP_005859.1"
"crovir-transcript-2238","crovir-protein-2238","NP_055211.2"
"crovir-transcript-2243","crovir-protein-2243","XP_005244832.1"
"crovir-transcript-2253","crovir-protein-2253","NP_064577.1"
"crovir-transcript-2250","crovir-protein-2250","NP_005393.2"
"crovir-transcript-2249","crovir-protein-2249","XP_016868239.1"
"crovir-transcript-2252","crovir-protein-2252","NP_619646.1"
"crovir-transcript-2251","crovir-protein-2251","XP_011513827.1"
"crovir-transcript-2246","crovir-protein-2246","XP_011513827.1"
"crovir-transcript-2245","crovir-protein-2245","XP_016867663.1"
"crovir-transcript-2259","crovir-protein-2259","NP_001345274.1"
"crovir-transcript-2268","crovir-protein-2268","NP_001137291.1"
"crovir-transcript-2262","crovir-protein-2262","NP_001317381.1"
