term_ID,description,frequency,plot_X,plot_Y,plot_size,uniqueness,dispensability,representative,eliminated
GO:0042886,"amide transport",0.337%,null,null,4.636,0.829,0.689,15780,1
GO:0015833,"peptide transport",0.298%,null,null,4.582,0.810,0.540,15780,1
GO:0008104,"protein localization",2.626%,null,null,5.527,0.773,0.912,15780,1
GO:0045184,"establishment of protein localization",2.407%,null,null,5.490,0.768,0.943,15780,1
GO:0006139,"nucleobase-containing compound metabolic process",26.547%, 6.002, 1.311,6.532,0.833,0.381,6139,0
GO:0016070,"RNA metabolic process",15.951%,null,null,6.311,0.775,0.541,6139,1
GO:0019218,"regulation of steroid metabolic process",0.016%, 3.774, 4.837,3.301,0.860,0.393,19218,0
GO:0090181,"regulation of cholesterol metabolic process",0.004%,null,null,2.671,0.868,0.732,19218,1
GO:0071702,"organic substance transport",4.980%,-4.485,-4.868,5.805,0.802,0.407,71702,0
GO:0055085,"transmembrane transport",8.916%,null,null,6.058,0.790,0.684,71702,1
GO:0006810,"transport",17.616%,null,null,6.354,0.776,0.600,71702,1
GO:0044260,"cellular macromolecule metabolic process",34.276%, 5.976,-2.657,6.643,0.817,0.408,44260,0
GO:0034470,"ncRNA processing",2.222%, 6.873,-0.050,5.455,0.789,0.429,34470,0
GO:0008033,"tRNA processing",1.345%,null,null,5.237,0.797,0.820,34470,1
GO:0006418,"tRNA aminoacylation for protein translation",1.099%,null,null,5.149,0.699,0.785,34470,1
GO:0006399,"tRNA metabolic process",2.495%,null,null,5.505,0.789,0.871,34470,1
GO:0061024,"membrane organization",0.759%,-2.212, 6.498,4.989,0.880,0.437,61024,0
GO:0016050,"vesicle organization",0.130%,-3.000, 6.076,4.221,0.878,0.442,16050,0
GO:0010499,"proteasomal ubiquitin-independent protein catabolic process",0.020%, 2.726,-5.998,3.406,0.745,0.453,10499,0
GO:0031146,"SCF-dependent proteasomal ubiquitin-dependent protein catabolic process",0.022%,null,null,3.447,0.743,0.697,10499,1
GO:0006450,"regulation of translational fidelity",0.303%, 4.135,-0.106,4.590,0.742,0.467,6450,0
GO:0016255,"attachment of GPI anchor to protein",0.027%, 3.225,-3.614,3.545,0.762,0.475,16255,0
